Question,Option A,Option B,Option C,Option D,Answer
Which of the following is a synonym of 'shudder'?,reservoir,quiver,mess,sheer,quiver
Which of the following is an antonym of 'shudder'?,composed,bare surface,formerly,calm,calm
Which of the following is a synonym of 'squirm'?,disturbance,grasp,individually,twist,twist
Which of the following is an antonym of 'squirm'?,separate,negligible,be still,blocks,be still
Which of the following is a synonym of 'after all'?,bough,ultimately,revealed,ready,ultimately
Which of the following is an antonym of 'after all'?,nearness,burden,before,ignore,before
Which of the following is a synonym of 'sacs'?,vesicle,myriad,assail,double,vesicle
Which of the following is an antonym of 'sacs'?,negligible,let go,half as many,solid mass,solid mass
Which of the following is a synonym of 'burst'?,erupt,break open,simplify,quarry,erupt
Which of the following is an antonym of 'burst'?,stay calm,remain motionless,gather,contract,contract
Which of the following is a synonym of 'hundreds of'?,myriad,sight,unfold,sill,myriad
Which of the following is an antonym of 'hundreds of'?,limited,overlook,minor,defend,limited
Which of the following is a synonym of 'a set of'?,vertical,commonly,blow,a collection of,a collection of
Which of the following is an antonym of 'a set of'?,gradual,machines,plus,single item,single item
Which of the following is a synonym of 'fang'?,hunted,sorts of,line,incisor,incisor
Which of the following is an antonym of 'fang'?,heal,artifacts,flat tooth,contract,flat tooth
Which of the following is a synonym of 'crawl'?,creep,pouch,integrate,beings,creep
Which of the following is an antonym of 'crawl'?,stem,root,sprint,afterward,sprint
Which of the following is a synonym of 'generally'?,recoil,commonly,wriggle,disturbance,commonly
Which of the following is an antonym of 'generally'?,obscurity,separate,missing,unusually,unusually
Which of the following is a synonym of 'creatures'?,secure,canine,entities,slither,entities
Which of the following is an antonym of 'creatures'?,artifacts,couple,clarity,inches,artifacts
Which of the following is a synonym of 'except'?,dagger tooth,sheer,excluding,multiple,excluding
Which of the following is an antonym of 'except'?,later,with,rigid container,inanimate objects,with
Which of the following is a synonym of 'steep'?,reservoir,sharp,snatch,inch,sharp
Which of the following is an antonym of 'steep'?,smooth,be challenged,handful,sit still,smooth
Which of the following is a synonym of 'the fact is'?,yard fraction,sight,forward,actually,actually
Which of the following is an antonym of 'the fact is'?,lost,winding,isolate,supposedly,supposedly
Which of the following is a synonym of 'kinds of'?,ready,categories of,entities,varieties of,categories of
Which of the following is an antonym of 'kinds of'?,gradual,hunter,peace,same,same
Which of the following is a synonym of 'discovered'?,grasp,exposed,fidget,help,exposed
Which of the following is an antonym of 'discovered'?,jointly,face difficulty,few,lost,lost
Which of the following is a synonym of 'twice as many'?,determine,yard fraction,twice the number,forward,twice the number
Which of the following is an antonym of 'twice as many'?,fewer,lump,separate,non-living things,fewer
Which of the following is a synonym of 'have it easy'?,tusk,enjoy ease,be fortunate,view,be fortunate
Which of the following is an antonym of 'have it easy'?,hinder,have a hard time,stem,disregard,have a hard time
Which of the following is a synonym of 'cobwebs'?,investigate,numerous,sharp,filaments,filaments
Which of the following is an antonym of 'cobwebs'?,several,dust-free,mass,handful,dust-free
Which of the following is a synonym of 'threads'?,rope,cords,tie,inspect,cords
Which of the following is an antonym of 'threads'?,chunks,centimeters,fabric,ignore,chunks
Which of the following is a synonym of 'tangle'?,range,span,snarl,surprise,snarl
Which of the following is an antonym of 'tangle'?,shield,relaxed,disregard,organization,organization
Which of the following is a synonym of 'string'?,analyze,found,direct,line,line
Which of the following is an antonym of 'string'?,relinquish,rearward,chunk,fold,chunk
Which of the following is a synonym of 'a look'?,enjoy ease,gaze,filaments,in front,gaze
Which of the following is an antonym of 'a look'?,disregard,obstruct,detach,forget,disregard
Which of the following is a synonym of 'eyesight'?,significant,snarl,explode,seeing,seeing
Which of the following is an antonym of 'eyesight'?,stride,mass,visual impairment,complicate,visual impairment
Which of the following is a synonym of 'examine'?,inspect,yard fraction,sited,perception,inspect
Which of the following is an antonym of 'examine'?,implode,glance,formerly,overlook,glance
Which of the following is a synonym of 'straight'?,direct,normally,bag,shake,direct
Which of the following is an antonym of 'straight'?,winding,complicate,peace,solitary,winding
Which of the following is a synonym of 'ahead'?,twig,twofold,sharp,onwards,onwards
Which of the following is an antonym of 'ahead'?,immediacy,assurance,afterward,perhaps,afterward
Which of the following is a synonym of 'important'?,twice the number,significant,in front,a batch of,significant
Which of the following is an antonym of 'important'?,face difficulty,trunk,lump,unimportant,unimportant
Which of the following is a synonym of 'located'?,sight,situated,life forms,myriad,situated
Which of the following is an antonym of 'located'?,gone,clear space,be challenged,disregard,gone
Which of the following is a synonym of 'judge'?,view,trauma,classes of,decide,decide
Which of the following is an antonym of 'judge'?,ignore,couple,crooked,neatness,ignore
Which of the following is a synonym of 'space'?,strings,be privileged,gap,hard material,gap
Which of the following is an antonym of 'space'?,arrangement,defend,chunks,congestion,congestion
Which of the following is a synonym of 'prey'?,victim,expand,a collection of,arrange,victim
Which of the following is an antonym of 'prey'?,formerly,single item,predator,loosen,predator
Which of the following is a synonym of 'from one another'?,apart,help,take,canine,apart
Which of the following is an antonym of 'from one another'?,challenge,organization,afterward,together,together
Which of the following is a synonym of 'blend in'?,range,creep,equip,harmonize,harmonize
Which of the following is an antonym of 'blend in'?,chunk,calmness,isolate,sheets,isolate
Which of the following is a synonym of 'make it easy'?,support,major,offshoot,writhe,support
Which of the following is an antonym of 'make it easy'?,buried,congestion,burden,mass,burden
Which of the following is a synonym of 'attack'?,tremble,strings,charge,analyze,charge
Which of the following is an antonym of 'attack'?,ignore,trivial,contract,protect,protect
Which of the following is a synonym of 'fasten'?,explode,fix,assail,length unit,fix
Which of the following is an antonym of 'fasten'?,protect,disregard,few,untie,untie
Which of the following is a synonym of 'prepare'?,differently,individually,twofold,equip,equip
Which of the following is an antonym of 'prepare'?,formerly,disregard,delay,lump,delay
Which of the following is a synonym of 'grab'?,essential,hysterical,clutch,length unit,clutch
Which of the following is an antonym of 'grab'?,solitary,sheets,half as many,relinquish,relinquish
Which of the following is a synonym of 'windowsill'?,gap,game,stretch,ledge,ledge
Which of the following is an antonym of 'windowsill'?,opening,abandon,arrangement,fabric,opening
Which of the following is a synonym of 'branch'?,ledge,gush,individually,offshoot,offshoot
Which of the following is an antonym of 'branch'?,order,clash,contrast,root,root
Which of the following is a synonym of 'steel'?,numerous,reinforcement,assault,fibers,reinforcement
Which of the following is an antonym of 'steel'?,plastic,sheets,comfort,neglect,plastic
Which of the following is a synonym of 'distance'?,vesicle,varieties of,foot,interval,interval
Which of the following is an antonym of 'distance'?,gradual,immediacy,solitary,neglect,immediacy
Which of the following is a synonym of 'feet'?,placed,hunted,reservoir,measurement,measurement
Which of the following is an antonym of 'feet'?,null span,stay calm,abandon,handful,null span
Which of the following is a synonym of 'frantic'?,classes of,yard fraction,agitated,area,agitated
Which of the following is an antonym of 'frantic'?,formerly,supposedly,assurance,peaceful,peaceful
Which of the following is a synonym of 'shock'?,surprise,glance,forward,in front,surprise
Which of the following is an antonym of 'shock'?,metric,bare surface,loosen,peace,peace
Which of the following is a synonym of 'spread'?,live comfortably,assess,shoot,expand,expand
Which of the following is an antonym of 'spread'?,fold,metric,inanimate objects,diminished,fold
